SMILES String,Solubility ALOGPS,Drug Name,Drug Subcategory,Drug Subcategory Updated,
[H][C@]1(O)C[C@@]([H])(O[C@]1([H])CO)N1C=C(C2=CC=C(Br)S2)C(=O)NC1=O,0.14,5-Bromothienyldeoxyuridine,others, Nucleoside Analogue,
[H][C@](C)(O)[C@@]([H])(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F,0.054,Antiproliferative Agent A771726,others, Immunosuppressive Agent,
CCOC(=O)C1=C(C)N(N=C1C)C1=C(Cl)C=CC=C1,0.0454,"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",others, Anti-Inflammatory Agent,
NC(=N)C1=CC=C(OCCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,0.0142,"4,4'[1,6-Hexanediylbis(Oxy)]Bisbenzenecarboximidamide",others, Antimicrobial Agent,
CCCCN1C(CC2=CC=CC(OC)=C2)=NC2=C(N)N=CN=C12,0.0724,9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,others, Adenosine Receptor Agonist,
C[C@@H](CC(O)=O)[C@@H](N)C(O)=O,38.1,(3r)-3-Methyl-L-Glutamic Acid,others, Amino Acid Derivative,
OC[C@@H](O)[C@H](O)[C@@H](O)CN1C(=O)N(CCCOP(O)(O)=O)C2=C1NC(=O)NC2=O,4.2,"3-{2,6,8-Trioxo-9-[(2s,3r,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate",others, Immunomodulatory Agent,
CCCCCCC\C=C/C(=O)SCCNC(C)=O,0.00717,2-Decenoyl N-Acetyl Cysteamine,others, Lipid Molecule,
[O-]S(=O)(=O)CC[NH+]1CCOCC1,4.58,2-(N-Morpholino)-Ethanesulfonic Acid,others, Buffering Agent,
C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,476,Fucitol,others, Sugar Alcohol,
N[C@@H](CCSC(F)F)C(O)=O,21.6,Difluoromethionine,others, Amino Acid Derivative,
NCC[C@H](N)C(O)=O,270,"2,4-Diaminobutyric Acid",others, Amino Acid Derivative,
[H][C@@]1(CCCN1S(=O)(=O)C1=CC=C(C)C=C1)C(=O)NCCS,0.218,N-[Tosyl-D-Prolinyl]Amino-Ethanethiol,others, Peptidomimetic Agent,
ONC(=O)C1=CC=CC=C1O,8.03,Salicylhydroxamic Acid,others, Urinary Tract Antiseptic Agent,
CC1(C)S[C@H]2[C@H](NC(=O)CCCC[C@@H](NC(=O)C[NH3+])C([O-])=O)C(=O)N2[C@@H]1C([O-])=O,1.97,"(2s,5r,6r)-6-{[(6r)-6-(Glycylamino)-7-Oxido-7-Oxoheptanoyl]Amino}-3,3-Dimethyl-7-Oxo-4-Thia-1-Azabicyclo[3.2.0]Heptane-2-Carboxylate",others, Antibiotic Agent,
N[C@@H]([C@H](O)OP(O)(O)=O)C(O)=O,24.1,2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid,others, Amino Acid Derivative,
CCOP(O)(O)=O,29,Ethyl Dihydrogen Phosphate,others, Phosphate Ester,
O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@H]1C1=CC(O)=C(O)C(O)=C1,0.871,Epigallocatechin,others, Flavan-3-ol,
IC1=CC2=C(CCNC2)C=C1,0.0981,"7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline",others, Neuroprotective Agent,
CCNC1=CC2=C(C=C1C)C(C1=CC=CC=C1C(=O)OCC)=C1C=C(C)\C(C=C1O2)=[NH+]\CC,0.000314,Rhodamine 6g,others, Fluorescent Dye,
NC1=C(N)C(=O)NC(=O)N1,13.8,"5,6-Diaminouracil",others, Pyrimidine Derivative,
CCCCCC(=O)OC[C@@H](CC[P@@]([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC,0.00116,"(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine",others, Phospholipid Derivative,
CC1=CC(C=O)=C(OP(O)(O)=O)C(C=O)=C1,1.17,RU78299,others, DNA Synthesis Inhibitor,
O[C@@H]1[C@@H](O)[C@@H](O[C@H]1COP(O)(O)=O)C1=CNC(=O)NC1=O,7.51,Pseudouridine-5'-Monophosphate,others, Nucleoside Phosphate,
NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)OP(O)(O)=O)N=C2C(=O)N1,0.516,Phosphorylated Dihydropteroate,others, Folate Derivative,
CCCCCCCC\C=C\CCCCCCCCOC(=O)[C@@H](O)CO,0.00105,1-Monooleoyl-Rac-Glycerol,others, Glycerolipid,
CCCCCCCC(=O)O[C@@H](CC(O)=O)C[N+](C)(C)C,0.00634,"3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium",others, Lipid-lowering agents,
[H][C@]1(CCCN1)C(=O)C1=NN=C(O1)C(C)(C)C,0.524,"2-Prolyl-5-Tert-Butyl-[1,3,4]Oxadiazole",others, Antimicrobial agents,
O=C\C=C\N[C@@H](C(O)=O)[C@](C)(CN1C=CN=N1)[S](=O)=O,2.14,Tazobactam Intermediate,others, Antibacterial agents,
CC(=O)NN1C(=O)N[C@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,99.8,"N-(8,9,10-Trihydroxy-7-Hydroxymethyl-2,4-Dioxo-6-Oxa-1,3-Diaza-Spiro[4.5]Dec-3-Yl-Acetamide",others, Antifungal agents,
ClC1=CC(Cl)=CC(Cl)=C1,0.031,"1,3,5-Trichloro-Benzene",others, Pesticides and disinfectants,
C(C)(C)C[C@H](C(=O)N[C@H](CCC1=CC=CC=C1)\C=C\S(=O)(=O)C1=CC=CC=C1)NC(=O)N1CCOCC1,0.00418,Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide,others, Antitumor agents,
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,7.67,D-Tyrosine,others, Amino acids,
CC(C)(C)COC1=C(C=C(C=C1)N1C=C(C=N1)C(O)=O)C#N,0.0931,Y-700,others, Cell cycle inhibitors,
CC1=CC=CC(=C)[C@H]1N,10.7,2-Chloro-6-Methyl-Aniline,others, Intermediates for the synthesis of dyes and pigments,
C=O,198,Formaldehyde,Standardized Chemical Allergen,Standardized Chemical Allergen,
NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=CC=C1F,0.021,"N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide",others, Antitumor agents,
CC1=CN([C@@H]2C[C@H](N=[N+]=[N-])[C@@H](CO[P@]([O-])(=O)O[P@@]([O-])(=O)O[P@]([O-])(=O)O[P@@]([O-])(=O)O[P@@]([O-])(=O)OC[C@@H]3O[C@H]([C@H](O)[C@H]3O)N3C=NC4=C3N=CN=C4N)O2)C(=O)NC1=O,39.8,P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate,others, Antiviral agents,
N[C@@H](CC(C(O)=O)C(O)=O)C(O)=O,22.5,Gamma-Carboxy-Glutamic Acid,others, Vitamin K-dependent clotting factors,
O[S@@](=O)C1=CC=CC=C1,9.55,Benzenesulfonyl,others, Intermediates for the synthesis of drugs and agrochemicals,
COC1=CC=C(C=C1OC1CCCC1)[C@@]1(CC[C@@H](CC1)C(O)=O)C#N,0.0155,Cis-4-Cyano-4-[3-(Cyclopentyloxy)-4-Methoxyphenyl]Cyclohexanecarboxylic Acid,others, Antitumor agents,
CO[C@H](C\C=C\N(C)CO)[C@H](C)C(=O)CC[C@@H](C)[C@@H](C[C@H]1OC(=O)C[C@H](O)C[C@@H](O)CC(=O)[C@@H](C)[C@@H](OC)C2=COC(=N2)C2=COC(=N2)C2=COC(\C=C\CC[C@@H]1C)=N2)OC,0.0213,Jaspisamide A,others, Antitumor agents,
OC(=O)CCCN1C2=CC=CC=C2C2=C1C=CC=C2,0.0315,Carbazole Butanoic Acid,others, Anti-inflammatory agents,
C[C@@]12CC[C@@H](CC1)C(C)(C)O2,0.0225,Eucalyptol,others, Fragrance and flavoring agents,
OC1=CC=C(C=C1\N=N\C1=C(O)C2=CC=C(NC3=NC(NC4=C(C5=C(C=C4)C(O)=C(\N=N\C4=CC(=CC=C4O)S(O)(=O)=O)C(=C5)S(O)(=O)=O)S(O)(=O)=O)=NC=N3)C(=C2C=C1S(O)(=O)=O)S(O)(=O)=O)S(O)(=O)=O,0.148,Azo-Dye Hapten,Nonsteroidal Anti-inflammatory Drug,Nonsteroidal Anti-inflammatory Drug,
NCCCCCN,89.1,"Pentane-1,5-Diamine",others, Antimicrobial agents,
ON[C@H](O)[C@@H](O)[C@H](O)COP(O)(O)=O,15.6,L-Threonohydroxamate 4-Phosphate,others, Phosphorus-containing compounds used as intermediates in the synthesis of biological molecules,
NCCC[C@@](N)(C(F)F)C(O)=O,50,Alpha-Difluoromethylornithine,others, Antitumor agents,
OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1S,8.09,"1,4-Deoxy-1,4-Dithio-Beta-D-Glucopyranose",others, Intermediates for the synthesis of drugs and agrochemicals,
CC(=O)CSC[C@H](N)C(O)=O,14.9,S-Acetonylcysteine,others, Mucolytic agents,
OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1O,62.6,1-Thio-Beta-D-Glucopyranose,others, Intermediates for the synthesis of drugs and agrochemicals,
CCCCN(C)C(=O)CCCCCCCCCC[C@@H]1CC2=CC(O)=CC=C2[C@H]2CC[C@]3(C)[C@H](O)CC[C@H]3[C@H]12,0.000143,"N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide",others, Corticosteroid receptor modulators,
CC(=O)N[C@@H]1NC[C@@H](CO)[C@H](O)[C@H]1O,56.1,"(2r,3r,4s,5r)-2-Acetamido-3,4-Dihydroxy-5-Hydroxymethyl-Piperidinium",others, Intermediates for the synthesis of drugs and agrochemicals,
OC[C@H]1ONC[C@@H](O)[C@@H]1O,783,Tetrahydrooxazine,others, Intermediates for the synthesis of drugs and agrochemicals,
CO[C@H]1[C@@H](O)O[C@@H](C)[C@H](O)[C@H]1O,723,2-O-Methyl Fucose,others, Intermediates for the synthesis of biological molecules,
OC[C@@H](O)CS,40.5,Monothioglycerol,others, Antioxidants and reducing agents,
NC(=[NH2+])C1=CC2=C(NC(=C2)C2=CC=CC(=C2O)C2=CC=CC=C2)C=C1Cl,0.000297,6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,others, Indole derivatives,
[H][C@@](CCCCC)(OO)\C=C\[C@@]1([H])[C@@]2([H])C[C@]([H])(OO2)[C@]1([H])C\C=C/CCCC(O)=O,0.0264,Prostaglandin G2,Nonsteroidal Anti-inflammatory Drug,Nonsteroidal Anti-inflammatory Drug,
N[C@@H](CC1=CC=C(O)C(=C1)[N+]([O-])=O)C(O)=O,1.49,Meta-Nitro-Tyrosine,Nitrate Vasodilator,Nitrate Vasodilator,
O[C@H]1C[C@@](O)(CC(=O)[C@@H]1O)C(O)=O,702,3-Dehydroquinic Acid,others, Antioxidants,
N[C@H](CO)C(=O)NS(=O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N,6.31,5'-O-(N-(L-Seryl)-Sulfamoyl)Adenosine,others, Adenosine derivatives,
OC[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)CO[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,643,"Ara-Alpha(1,3)-Xyl",others, Carbohydrates,
C[C@@H]1O[C@H](O)CC[C@H]1O,707,"2,3-Dideoxyfucose",others, Carbohydrates,
CC1(C)C=CC(C)(C)C2=CC(NC(=O)C3=CC=C(C=C3)C(O)=O)=CC=C12,0.000599,"N-(5,5,8,8-Tetramethyl-5,8-Dihydro-Naphthalen-2-Yl)-Terephthalamic Acid",others, Aromatic carboxylic acids,
CN(C)CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,0.000891,"(4e,8e,12z,16z)-N,N,4,8,13,17,21-Heptamethyldocosa-4,8,12,16,20-Pentaen-1-Amine",others, Lipids,
NC(=[NH2+])C1=CC2=C(S1)N=CC=C2,0.328,"Thieno[2,3-B]Pyridine-2-Carboxamidine",others, Pyridines,
CCN[C@@H]1CN(CCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,1.1,AL4623,others, Peptide analogs,
CC1=CC=C(NC(=O)C2=CC=CN=C2)C=C1NC1=NC=CC(=N1)C1=CC=CN=C1,0.00873,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,others, Pyridinecarboxamides,
CO[C@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]1O,812,Alpha-L-Methyl-Fucose,others, Carbohydrates,
[H][C@@](CC1=CC=CC=C1)(NC(=O)[C@]([H])(CC(C)C)[C@]([H])(CSC1=CC=CS1)C(=O)NO)C(=O)NC,0.00173,Batimastat,others, Matrix metalloproteinase inhibitors,
[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,0.0193,"5-Alpha-Androstane-3-Beta,17beta-Diol",others, Androstanes,
OC[C@@H](O)[C@H](O)[C@@H](O)CN1C(=O)C(CCC(O)=O)=NC2=C1NC(=O)NC2=O,3.35,Carboxyethyllumazine,others, Lumazine derivatives,
OC(=O)C(=O)CC1=CC=CC=C1,0.932,3-Phenylpyruvic Acid,others, Carboxylic acids,
N[C@@H](CCC(=O)N[C@H](CSCC1=CC=CC2=C1C=CC=C2)C(=O)NCC(O)=O)C(O)=O,0.0104,1-Menaphthyl Glutathione Conjugate,others, Conjugated molecules,
C[C@@H](O)[C@@H](O)C1=CN=C2N=C(N)NC(=O)C2=N1,3.71,Biopterin,others, Cofactor and enzyme activator,
NC1=NC=NC2=C1N(C=N2)[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]1O,3.34,Alpha-Adenosine Monophosphate,others, Nucleotides,
CN(CCCCCCOC1=CC=C2C(=C1)N(C)N=C2C1=CC=C(Br)C=C1)CC=C,0.00182,Allyl-{6-[3-(4-Bromo-Phenyl)-1-Methyl-1h-Indazol-6-Yl]Oxy}Hexyl)-N-Methylamine,others, Indazoles,
N[C@@H](CCC(=O)N[C@H](CS[C@H](O)N(O)C1=CC=C(Br)C=C1)C(=O)NCC(O)=O)C(O)=O,0.497,S-(N-Hydroxy-N-Bromophenylcarbamoyl)Glutathione,others, Glutathione analogs,
O=C[C@@]([H])(C(C)C)[C@]1([H])N(CC[C@@]1([H])NS(=O)(=O)C)C(=O)\C=C\CN1CCCCC1,0.407,N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide,others, Sulfonamides,
CC(C)C[C@@H](NC(=O)OCC1=CC=CC=C1)C(=O)NNC(=O)NNC(=O)[C@@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,0.00406,"1,5-Bis(N-Benzyloxycarbonyl-L-Leucinyl)Carbohydrazide",others, Carbohydrazides,
N[C@@H](CCCN\C(N)=[NH+]\CC=C)C(O)=O,8.62,5-N-Allyl-Arginine,others, Arginine derivatives,
NC(=S)C1=CC=C[N+](=C1)[C@@H]1O[C@@H](CO[P@]([O-])(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O,0.703,Thionicotinamide-Adenine-Dinucleotide,Calculi Dissolution Agent,Calculi Dissolution Agent,
[H][C@@]1(CCC2=C1C=CC=C2)NCC#C,0.0249,N-Propargyl-1(S)-Aminoindan,others, Aminoindans,
CN(C)C1=CC=C(C=C1)C(C1=CC=CC=C1)=C1C=CC(C=C1)=[N+](C)C,0.00138,Malachite Green,others, Dyes,
OC(=O)CCC1=CC=C(O)C=C1,2.71,Hydroxyphenyl Propionic Acid,others, Hydroxybenzoic acids,
N[C@H](C(O)=O)C1=CC(Cl)=C(O)C=C1,2.01,3-Chloro-4-Hydroxyphenylglycine,others, Phenylglycines,
CCCCN1C(CC2=CC=C(OC)C=C2)=NC2=C(N)N=CN=C12,0.0706,9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine,others, Purines,
CC(C)(C)O,154,2-Methyl-2-Propanol,others, Alcohols,
O=C[C@H]1CCC(=O)N1,92.3,5-Oxo-Pyrrolidine-2-Carbaldehyde,others, Pyrrolidines,
OC(=O)C(O)=O,65.7,Oxalic Acid,others, Dicarboxylic acids,
CN(C)C1=CCC2=C(C3=CC=C(C=C3OC2=C1)N(C)C)C1=CC=C(C=C1C(O)=O)N1C(=O)C=CC1=O,0.0199,Tmr,others, Fluorescent dyes,
NC(N)=O,412,Urea,others, Urea derivatives,
CC(C)(CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCNC(=O)CCC(O)=O,3.52,Succinamide-Coa,others, Coenzyme A derivatives,
CC1=C(C=C)C2=CC3=[N+]4C(=CC5=C(C)C(CCC(O)=O)=C6N5[Fe]44N2C1=CC1=[N+]4C(C(CCC(O)=O)=C1C)=C6C1=CC=CC=C1)C(C=C)=C3C,0.000717,2-Phenylheme,others, Heme analogs,
CC[C@H](C)[C@@H](NC(=O)[C@@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@H](OCC1=CC=CC=C1)C(=O)N[C@H]([C@H](C)CC)C(=O)NC)C(=O)NC,0.057,Inhibitor Bea322,Non-Standardized Fungal Allergenic Extract,Non-Standardized Fungal Allergenic Extract,
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@@](O)(=O)O[P@@](O)(=O)CP(O)(O)=O)[C@H](O)[C@H]1O,4.45,"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",others, Nucleotide,
NC(=N)SCCC1=CC(CCSC(N)=N)=CC=C1,0.0207,"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",others, Isothiourea,
O[C@H]1COC(O)[C@@H](O)[C@@H]1O,1220,L-Xylopyranose,others, Carbohydrate,
CC(C)(COP(O)(O)=O)[C@@H](O)C(=O)NCCC(=O)NCCS,0.375,4'-Phosphopantetheine,Amide Local Anesthetic,Amide Local Anesthetic,
C[C@@H](O[P@@](O)(=O)OC[C@H](O)[C@@H](O)[C@H](O)CN1C2=CC(O)=CC=C2C=C2C(=O)NC(=O)N=C12)C(=O)N[C@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,0.289,Coenzyme F420,others, Coenzyme,
CC(=O)[C@H](N)C(O)=O,206,2-Amino-3-Ketobutyric Acid,others, Amino Acid,
CC1=C(Cl)C=C(NC2=NC(=CC=N2)C2=CC(=NC=C2)N2CCN(CCN)CC2)C=C1,0.0447,4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine,others, Antidepressant,
CCNC(=O)\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,0.00332,N-Ethyl Retinamide,others, Retinoid,
C[C@@H](O)[C@H](O)[C@H]1CNC2=C(N1)C(=O)NC(N)=N2,2.03,"6s-5,6,7,8-Tetrahydrobiopterin",others, Cofactor,
CCNC(=O)OC,279,Ethyl-Carbamic Acid Methyl Ester,others, Carbamate Insecticide,
CNC(=C)C(O)=O,99.9,N-Methyl-Alpha-Beta-Dehydroalanine,others, Amino Acid,
N1C=C(C(=N1)C1=NC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.0273,4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,others, Kinase Inhibitor,
COC1=CC(\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2OP(O)(O)=O)N2C=NC3=C(N)N=CN=C23)=CC(O)=C1O,2.83,Feruloyl Coenzyme A,others, Coenzyme,
NC1=CC=C(N)C2=C1C(=O)C1=C(O)C=CC(O)=C1C2=O,0.371,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",others, Antineoplastic antibiotic,
CC(C)[C@@H](NC(=O)CN1C(=O)C(N)=CN=C1C1=CC=CC=C1)[C@@H](O)C1=NN=C(O1)C(C)(C)C,0.113,ONO-6818,others, Osteoporosis agent,
[H][C@@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,0.0193,"5-Alpha-Androstane-3-Beta,17-Alpha-Diol",others, Hormone,
C[C@@H](NC(=O)CCCC[C@@H](NC(=O)C[NH3+])C([O-])=O)C(O)=O,4.22,Glycyl-L-Alpha-Amino-Epsilon-Pimelyl-D-Alanine,others, Peptide Antibiotic,
OC(=O)CSC1=NC(=NO1)C1=CC=CC(Cl)=C1,0.267,"Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol",others, Herbicide,
N[C@H](CO)C(O)=O,480,D-Serine,others, Amino Acid,
C[C@H]1C=CN[C@@H]1C(O)=O,132,4-Methyl-Pyrroline-5-Carboxylic Acid,others, Amino Acid,
NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO[P@](O)(=O)OP(O)(=O)O[P@@](O)(=O)OC[C@@H]3O[C@H]([C@H](O)[C@H]3O)N3C=NC4=C3N=C(N)NC4=O)[C@H](O)[C@H]2O)C(=O)N1,4.84,Diguanosine-5'-Triphosphate,others, Nucleotide,
CC[C@@H](C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@@H](C)[C@@H](CC[C@@H]3C[C@H](O)CC(=O)N3CC3=CC=C4C(C=CC(OC)=C4CO)=C3)[C@H]12,0.00152,LFA703,others, Cannabinoid receptor modulator,
COC1=CC2=C(NC(=O)C(=C)O2)C(=C1)C(=O)O[C@H]1COC(=O)C[C@@H]([NH3+])C2=CC(O)=C(O[C@H]3C4=CC=C1C=C4C1=CC=C[C@@]31O[C@@H]1OC(C)(C)[C@H]([C@H](O)[C@H]1O)N(C)C)C(Cl)=C2,0.00927,C-1027 Aromatized Chromophore,others, Antitumor antibiotic,
CC1=C(CCC(O)=O)C2=CC3=[N+]4C(=CC5=C(C=C)C(C)=C6C=C7C(C=C)=C(C)C8=[N+]7[Zn@]4(N2C1=C8)N56)C(C)=C3CCC(O)=O,0.00179,Protoporphyrin Ix Containing Zn,others, Prosthetic Group,
O[C@@H]1C[C@@H](OC[C@H]1OS(O)(=O)=O)C(O)=O,55.2,"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",others, Antibiotic,
O[C@@H]1CO[C@H](COP(O)(O)=O)[C@H]1O,38.6,1-Deoxy-Ribofuranose-5'-Phosphate,Barbiturate,Barbiturate,
O[C@@H](COP(O)(O)=O)[C@@H](O)C=O,23.7,Erythose-4-Phosphate,Barbiturate,Barbiturate,
CC1=C(N2[C@@H](SC1)[C@H](NC(=O)CCC[C@H](N)C(O)=O)C2=O)C(O)=O,2.51,Deacetoxycephalosporin-C,others, Antibiotic,
O[C@H]1NC(=O)NC=C1,67.7,"4-Hydroxy-3,4-Dihydro-1h-Pyrimidin-2-One",others, Antiviral,
NC(=O)C(O)=O,108,Oxamic Acid,others, Enzyme Inhibitor,
CCCCCCCC1=CC=C(O)C=C1,0.0114,Heptanyl-P-Phenol,others, Antimicrobial agent,
O[C@@H]1[C@@H](O)[C@@H](C[C@H]1COP(O)(O)=O)O[P@](O)(=O)OP(O)(O)=O,13.1,Carboxylic PRPP,others, Enzyme Cofactor,
N[C@H](CC(N)=O)C(O)=O,168,D-Asparagine,others, Amino Acid,
[H][C@]1(C)SC(=O)NN=C1C1=CC2=C(C=C1)N(CCC2)C(=O)C1=CC(OC)=C(OC)C=C1,0.0197,"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",others, Hypnotic agent,
C[N+](C)(C)CCOP(O)(O)=O,4.36,Phosphocholine,others, Metabolite,
OC(=O)C1=CC=C(O)C(O)=C1,12.4,"3,4-Dihydroxybenzoic Acid",others, Metabolite,
OC[C@H](O)[C@H](O)C(=O)CO,678,D-Xylulose,others, Carbohydrate,
O[C@H]1[C@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=C[NH+]=C2Cl,1.87,"6-Chloropurine Riboside, 5'-Monophosphate",others, Nucleotide,
OC(=O)[C@@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](S)CC1=CC=CC=C1,0.00135,(2-Sulfanyl-3-Phenylpropanoyl)-Phe-Tyr,others, Peptide,
[H][C@](C)(CNC(=O)C1=CC=C(C=C1)S(N)(=O)=O)CN1C=CC2=CC=CC=C12,0.0411,(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,others, Antineoplastic agent,
CC(=O)N[C@H]1[C@H](O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O,17.6,16g,others, Antidepressant,
C[C@H](O)[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2C,8.73,9-(6-Deoxy-Beta-D-Allofuranosyl)-6-Methylpurine,others, Nucleoside,
N[C@@H](CCC\N=C(/N)S)C(O)=O,2,L-Thiocitrulline,others, Amino acid derivative,
OC[C@@H]1NC[C@@H](O)[C@H](O)[C@H]1O,511,"1,5-Dideoxy-1,5-Imino-D-Mannitol",others, Deoxysugar,
O[C@@H]1[C@@H](O)[C@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H](O)[C@H]1OP(O)(O)=O,14.8,"D-Myo-Inositol-2,4,5-Trisphosphate",others, Signaling molecule,
C[N+]1=CN([C@@H]2O[C@@H](CO[P@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]3O[C@H]([C@H](O)[C@H]3O)N3C=NC4=C3N=C(N)NC4=O)[C@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2,4.36,7-methyl-guanosine-5'-triphosphate-5'-guanosine,others, Nucleotide,
O[C@H]1O[C@@H](COS(O)(=O)=O)[C@H](O)[C@@H](O)[C@@H]1NS(O)(=O)=O,11,"N,O6-Disulfo-Glucosamine",others, Disaccharide derivative,
OO[C@@]1(CC2=CC=C(O)C=C2)N=C2[C@H](CC3CCCC3)NC(=CN2C1=O)C1=CC=C(O)C=C1,0.0573,Cp-Coeleneterazine,Non-Standardized Food Allergenic Extract,Non-Standardized Food Allergenic Extract,
C[C@]1(CO)O[P@@](O)(=O)O[P@](O)(=O)OC[C@H]1O,21.4,"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate",others, Metabolic intermediate,
NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@@H](CO[P@]([O-])(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](OP(O)(O)=O)[C@H]2O)N2C(Br)=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O,4.28,Nicotinamide 8-Bromo-Adenine Dinucleotide Phosphate,others, Coenzyme,
